x_pro,y_pro,x_mm,y_mm
10563.120429389895,-34046.34919821108,9521,-35074
10443.063436608272,-33970.941886970904,9450,-34970
10442.341218993934,-33929.97373358615,9365,-34853
10316.30314337714,-33880.55803965474,9291,-34759
10225.473366093667,-33911.8042848061,9211,-34649
10136.509365342026,-33924.4476396998,9140,-34547
9890.541561462038,-33932.00528003348,9071,-34444
9694.520542400098,-33994.09841635718,8988,-34334
9553.148808262398,-33924.953714882315,8917,-34231
9447.477852397986,-33855.432029025535,8839,-34126
9250.27752996657,-33745.31482276718,8767,-34021
9202.073389670242,-33533.263004701555,8689,-33914
9240.533136421944,-33380.828913815334,8614,-33808
9390.506973644471,-33136.49798598952,8540,-33704
9480.655597844376,-33003.20445661341,8452,-33590
9527.563870485352,-33002.5972260909,8392,-33494
9440.630915641665,-32806.74742464776,8326,-33399
9197.935520651457,-32606.789280072437,8255,-33292
9092.276456378737,-32320.897099070877,8176,-33189
9161.169817243437,-32144.073675502346,8112,-33099
9211.810309480306,-32044.709134033514,8044,-32986
9112.399880106874,-32095.563840350816,7969,-32892
8982.7673638076,-32021.53659249217,7906,-32804
8937.16571035592,-31852.413002010475,7835,-32705
8923.135401491885,-31696.722866629327,7759,-32616
8748.800844269808,-31528.47551960545,7677,-32504
8457.967211566604,-31429.101310926744,7593,-32391
8280.446234274292,-31087.178372586222,7453,-32193
8265.83676896835,-30951.35234485635,7386,-32103
8211.576687015533,-30804.11584214704,7301,-31996
